2013-12-21 11:28:02 Notice: Notice (8): Undefined index: video_file in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 282]
2013-12-21 11:30:17 Notice: Notice (8): Undefined variable: country_val in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 255]
2013-12-21 11:30:17 Notice: Notice (8): Undefined index: video_file in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 282]
2013-12-21 11:31:29 Notice: Notice (8): Undefined variable: country_val in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 255]
2013-12-21 11:31:29 Notice: Notice (8): Undefined index: video_file in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 282]
2013-12-21 11:32:07 Notice: Notice (8): Undefined variable: country_val in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 255]
2013-12-21 11:32:07 Notice: Notice (8): Undefined index: video_file in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 282]
2013-12-21 15:25:05 Notice: Notice (8): Undefined index: is_cancelled in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1675]
2013-12-21 16:13:42 Notice: Notice (8): Undefined index: city_json in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/users/controllers/users_controller.php, line 756]
2013-12-21 16:21:01 Notice: Notice (8): Undefined index: city_json in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/users/controllers/users_controller.php, line 756]
2013-12-21 16:21:03 Notice: Notice (8): Undefined index: city_json in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/users/controllers/users_controller.php, line 756]
2013-12-21 16:31:00 Notice: Notice (8): Undefined index: city_json in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/users/controllers/users_controller.php, line 756]
2013-12-21 16:31:36 Notice: Notice (8): Undefined index: city_json in [/var/www/vhosts/boostbloom.com/httpdocs/app/plugins/users/controllers/users_controller.php, line 756]
